tab 	measurements
citations	dir_dec	dir_inc	experiment	magn_moment	measurement	method_codes	quality	specimen	treat_temp
this_study:10.1126/science.265.5178.1561	328.4	-19.5	c114-10.44:LP-DIR-T:LT-T-Z	2.4e-09	98	LP-DIR-T:LT-T-Z	g	c114-10.44	873.0
this_study:10.1126/science.265.5178.1561	226.9	67.3	c114-10.45:LP-TRM	5.6378000000000005e-06	99	LP-TRM	g	c114-10.45	873.0
this_study:10.1126/science.265.5178.1561	217.4	66.0	c114-10.45:LP-DIR-T:LT-T-Z	5.4187e-06	100	LP-DIR-T:LT-T-Z	g	c114-10.45	273.0
this_study:10.1126/science.265.5178.1561	218.8	65.8	c114-10.45:LP-DIR-T:LT-T-Z	5.3606e-06	101	LP-DIR-T:LT-T-Z	g	c114-10.45	323.0
this_study:10.1126/science.265.5178.1561	217.6	65.0	c114-10.45:LP-DIR-T:LT-T-Z	5.1951000000000005e-06	102	LP-DIR-T:LT-T-Z	g	c114-10.45	348.0
this_study:10.1126/science.265.5178.1561	217.9	64.6	c114-10.45:LP-DIR-T:LT-T-Z	4.9084e-06	103	LP-DIR-T:LT-T-Z	g	c114-10.45	373.0
this_study:10.1126/science.265.5178.1561	217.6	62.5	c114-10.45:LP-DIR-T:LT-T-Z	4.4526e-06	104	LP-DIR-T:LT-T-Z	g	c114-10.45	398.0
this_study:10.1126/science.265.5178.1561	216.3	58.9	c114-10.45:LP-DIR-T:LT-T-Z	3.8283e-06	105	LP-DIR-T:LT-T-Z	g	c114-10.45	423.0
this_study:10.1126/science.265.5178.1561	216.3	53.6	c114-10.45:LP-DIR-T:LT-T-Z	3.2241e-06	106	LP-DIR-T:LT-T-Z	g	c114-10.45	448.0
this_study:10.1126/science.265.5178.1561	214.7	46.0	c114-10.45:LP-DIR-T:LT-T-Z	2.6659e-06	107	LP-DIR-T:LT-T-Z	g	c114-10.45	473.0
this_study:10.1126/science.265.5178.1561	211.6	34.7	c114-10.45:LP-DIR-T:LT-T-Z	2.1648e-06	108	LP-DIR-T:LT-T-Z	g	c114-10.45	498.0
